location,nearby-locations
30.476164-80.265561,"30.476164-80.265561,30.466164000000003-80.265561,30.486164000000002-80.265561,30.496164-80.265561,30.456164-80.265561,30.446164000000003-80.265561,30.506164000000002-80.265561,30.436164-80.265561,30.516164-80.265561,30.526164-80.265561,30.426164-80.265561,30.416164000000002-80.265561,30.536164000000003-80.265561,30.546164-80.265561,30.406164-80.265561,30.396164000000002-80.265561,30.556164000000003-80.265561,30.386164-80.265561,30.566164-80.265561,30.376164000000003-80.265561,30.576164000000002-80.265561,30.586164-80.265561,30.366164-80.265561,30.596164-80.265561,30.356164-80.265561,30.606164-80.265561,30.346164-80.265561,30.616164-80.265561,30.336164-80.265561,30.326164000000002-80.265561,30.626164000000003-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.636164-80.265561,30.326164000000002-80.195561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.646164000000002-80.265561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.656164-80.265561,30.326164000000002-80.145561,30.326164000000002-80.135561,30.666164000000002-80.265561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.676164-80.265561,30.326164000000002-80.105561,30.326164000000002-80.095561,30.686164-80.265561,30.326164000000002-80.085561,30.696164000000003-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.706164-80.265561,30.326164000000002-80.055561,30.716164000000003-80.265561,30.326164000000002-80.04556099999999,30.326164000000002-80.035561,30.726164-80.265561,30.326164000000002-80.025561,30.736164000000002-80.265561,30.326164000000002-80.015561,30.326164000000002-80.005561,30.746164-80.265561,30.326164000000002-79.995561,30.756164000000002-80.265561,30.326164000000002-79.985561,30.766164-80.265561,30.326164000000002-79.975561,30.326164000000002-79.965561,30.776164-80.265561,30.326164000000002-79.955561,30.786164000000003-80.265561,30.326164000000002-79.945561,30.796164-80.265561,30.326164000000002-79.93556099999999,30.326164000000002-79.925561,30.806164000000003-80.265561,30.326164000000002-79.915561,30.816164-80.265561,30.326164000000002-79.90556099999999,30.826164000000002-80.265561,30.326164000000002-79.895561,30.836164-80.265561,30.326164000000002-79.885561,30.326164000000002-79.875561,30.846164-80.265561,30.326164000000002-79.865561,30.856164-80.265561,30.326164000000002-79.855561,30.866164-80.265561,30.326164000000002-79.845561,30.876164000000003-80.265561,30.326164000000002-79.835561,30.326164000000002-79.825561,30.886164-80.265561,30.326164000000002-79.815561,30.896164000000002-80.265561,30.326164000000002-79.805561,30.906164-80.265561,30.326164000000002-79.79556099999999,30.916164000000002-80.265561,30.326164000000002-79.785561,30.326164000000002-79.775561"
30.486164000000002-80.265561,"30.486164000000002-80.265561,30.496164-80.265561,30.476164-80.265561,30.506164000000002-80.265561,30.466164000000003-80.265561,30.516164-80.265561,30.456164-80.265561,30.526164-80.265561,30.446164000000003-80.265561,30.436164-80.265561,30.536164000000003-80.265561,30.546164-80.265561,30.426164-80.265561,30.556164000000003-80.265561,30.416164000000002-80.265561,30.566164-80.265561,30.406164-80.265561,30.396164000000002-80.265561,30.576164000000002-80.265561,30.586164-80.265561,30.386164-80.265561,30.596164-80.265561,30.376164000000003-80.265561,30.606164-80.265561,30.366164-80.265561,30.616164-80.265561,30.356164-80.265561,30.626164000000003-80.265561,30.346164-80.265561,30.636164-80.265561,30.336164-80.265561,30.646164000000002-80.265561,30.326164000000002-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.656164-80.265561,30.326164000000002-80.195561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.666164000000002-80.265561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.676164-80.265561,30.326164000000002-80.145561,30.326164000000002-80.135561,30.686164-80.265561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.696164000000003-80.265561,30.326164000000002-80.105561,30.326164000000002-80.095561,30.706164-80.265561,30.326164000000002-80.085561,30.326164000000002-80.075561,30.716164000000003-80.265561,30.326164000000002-80.065561,30.726164-80.265561,30.326164000000002-80.055561,30.326164000000002-80.04556099999999,30.736164000000002-80.265561,30.326164000000002-80.035561,30.746164-80.265561,30.326164000000002-80.025561,30.326164000000002-80.015561,30.756164000000002-80.265561,30.326164000000002-80.005561,30.766164-80.265561,30.326164000000002-79.995561,30.326164000000002-79.985561,30.776164-80.265561,30.326164000000002-79.975561,30.786164000000003-80.265561,30.326164000000002-79.965561,30.796164-80.265561,30.326164000000002-79.955561,30.326164000000002-79.945561,30.806164000000003-80.265561,30.326164000000002-79.93556099999999,30.816164-80.265561,30.326164000000002-79.925561,30.826164000000002-80.265561,30.326164000000002-79.915561,30.326164000000002-79.90556099999999,30.836164-80.265561,30.326164000000002-79.895561,30.846164-80.265561,30.326164000000002-79.885561,30.856164-80.265561,30.326164000000002-79.875561,30.866164-80.265561,30.326164000000002-79.865561,30.326164000000002-79.855561,30.876164000000003-80.265561,30.326164000000002-79.845561,30.886164-80.265561,30.326164000000002-79.835561,30.896164000000002-80.265561,30.326164000000002-79.825561,30.326164000000002-79.815561,30.906164-80.265561,30.326164000000002-79.805561,30.916164000000002-80.265561,30.326164000000002-79.79556099999999,30.926164-80.265561,30.326164000000002-79.785561"
30.496164-80.265561,"30.496164-80.265561,30.486164000000002-80.265561,30.506164000000002-80.265561,30.476164-80.265561,30.516164-80.265561,30.466164000000003-80.265561,30.526164-80.265561,30.456164-80.265561,30.536164000000003-80.265561,30.446164000000003-80.265561,30.546164-80.265561,30.436164-80.265561,30.556164000000003-80.265561,30.566164-80.265561,30.426164-80.265561,30.416164000000002-80.265561,30.576164000000002-80.265561,30.406164-80.265561,30.586164-80.265561,30.396164000000002-80.265561,30.596164-80.265561,30.606164-80.265561,30.386164-80.265561,30.376164000000003-80.265561,30.616164-80.265561,30.366164-80.265561,30.626164000000003-80.265561,30.356164-80.265561,30.636164-80.265561,30.346164-80.265561,30.646164000000002-80.265561,30.656164-80.265561,30.336164-80.265561,30.326164000000002-80.265561,30.666164000000002-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.676164-80.265561,30.326164000000002-80.195561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.686164-80.265561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.326164000000002-80.145561,30.696164000000003-80.265561,30.326164000000002-80.135561,30.326164000000002-80.125561,30.706164-80.265561,30.326164000000002-80.115561,30.326164000000002-80.105561,30.716164000000003-80.265561,30.326164000000002-80.095561,30.726164-80.265561,30.326164000000002-80.085561,30.326164000000002-80.075561,30.736164000000002-80.265561,30.326164000000002-80.065561,30.326164000000002-80.055561,30.746164-80.265561,30.326164000000002-80.04556099999999,30.756164000000002-80.265561,30.326164000000002-80.035561,30.326164000000002-80.025561,30.766164-80.265561,30.326164000000002-80.015561,30.776164-80.265561,30.326164000000002-80.005561,30.326164000000002-79.995561,30.786164000000003-80.265561,30.326164000000002-79.985561,30.796164-80.265561,30.326164000000002-79.975561,30.326164000000002-79.965561,30.806164000000003-80.265561,30.326164000000002-79.955561,30.816164-80.265561,30.326164000000002-79.945561,30.826164000000002-80.265561,30.326164000000002-79.93556099999999,30.326164000000002-79.925561,30.836164-80.265561,30.326164000000002-79.915561,30.846164-80.265561,30.326164000000002-79.90556099999999,30.856164-80.265561,30.326164000000002-79.895561,30.326164000000002-79.885561,30.866164-80.265561,30.326164000000002-79.875561,30.876164000000003-80.265561,30.326164000000002-79.865561,30.886164-80.265561,30.326164000000002-79.855561,30.896164000000002-80.265561,30.326164000000002-79.845561,30.326164000000002-79.835561,30.906164-80.265561,30.326164000000002-79.825561,30.916164000000002-80.265561,30.326164000000002-79.815561,30.926164-80.265561,30.326164000000002-79.805561,30.326164000000002-79.79556099999999,30.936164-80.265561,30.326164000000002-79.785561"
30.506164000000002-80.265561,"30.506164000000002-80.265561,30.516164-80.265561,30.496164-80.265561,30.526164-80.265561,30.486164000000002-80.265561,30.476164-80.265561,30.536164000000003-80.265561,30.466164000000003-80.265561,30.546164-80.265561,30.456164-80.265561,30.556164000000003-80.265561,30.566164-80.265561,30.446164000000003-80.265561,30.576164000000002-80.265561,30.436164-80.265561,30.586164-80.265561,30.426164-80.265561,30.416164000000002-80.265561,30.596164-80.265561,30.606164-80.265561,30.406164-80.265561,30.616164-80.265561,30.396164000000002-80.265561,30.626164000000003-80.265561,30.386164-80.265561,30.636164-80.265561,30.376164000000003-80.265561,30.646164000000002-80.265561,30.366164-80.265561,30.656164-80.265561,30.356164-80.265561,30.346164-80.265561,30.666164000000002-80.265561,30.676164-80.265561,30.336164-80.265561,30.686164-80.265561,30.326164000000002-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.696164000000003-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.706164-80.265561,30.326164000000002-80.15556099999999,30.326164000000002-80.145561,30.716164000000003-80.265561,30.326164000000002-80.135561,30.326164000000002-80.125561,30.726164-80.265561,30.326164000000002-80.115561,30.326164000000002-80.105561,30.736164000000002-80.265561,30.326164000000002-80.095561,30.326164000000002-80.085561,30.746164-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.756164000000002-80.265561,30.326164000000002-80.055561,30.766164-80.265561,30.326164000000002-80.04556099999999,30.326164000000002-80.035561,30.776164-80.265561,30.326164000000002-80.025561,30.786164000000003-80.265561,30.326164000000002-80.015561,30.326164000000002-80.005561,30.796164-80.265561,30.326164000000002-79.995561,30.806164000000003-80.265561,30.326164000000002-79.985561,30.326164000000002-79.975561,30.816164-80.265561,30.326164000000002-79.965561,30.826164000000002-80.265561,30.326164000000002-79.955561,30.326164000000002-79.945561,30.836164-80.265561,30.326164000000002-79.93556099999999,30.846164-80.265561,30.326164000000002-79.925561,30.856164-80.265561,30.326164000000002-79.915561,30.326164000000002-79.90556099999999,30.866164-80.265561,30.326164000000002-79.895561,30.876164000000003-80.265561,30.326164000000002-79.885561,30.886164-80.265561,30.326164000000002-79.875561,30.326164000000002-79.865561,30.896164000000002-80.265561,30.326164000000002-79.855561,30.906164-80.265561,30.326164000000002-79.845561,30.916164000000002-80.265561,30.326164000000002-79.835561,30.326164000000002-79.825561,30.926164-80.265561,30.326164000000002-79.815561,30.936164-80.265561,30.326164000000002-79.805561,30.946164000000003-80.265561,30.326164000000002-79.79556099999999"
30.516164-80.265561,"30.516164-80.265561,30.506164000000002-80.265561,30.526164-80.265561,30.496164-80.265561,30.536164000000003-80.265561,30.486164000000002-80.265561,30.546164-80.265561,30.476164-80.265561,30.556164000000003-80.265561,30.466164000000003-80.265561,30.566164-80.265561,30.456164-80.265561,30.576164000000002-80.265561,30.446164000000003-80.265561,30.586164-80.265561,30.436164-80.265561,30.596164-80.265561,30.426164-80.265561,30.606164-80.265561,30.416164000000002-80.265561,30.616164-80.265561,30.406164-80.265561,30.626164000000003-80.265561,30.396164000000002-80.265561,30.636164-80.265561,30.386164-80.265561,30.646164000000002-80.265561,30.376164000000003-80.265561,30.656164-80.265561,30.366164-80.265561,30.666164000000002-80.265561,30.676164-80.265561,30.356164-80.265561,30.346164-80.265561,30.686164-80.265561,30.336164-80.265561,30.696164000000003-80.265561,30.326164000000002-80.265561,30.706164-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.716164000000003-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.726164-80.265561,30.326164000000002-80.15556099999999,30.326164000000002-80.145561,30.736164000000002-80.265561,30.326164000000002-80.135561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.746164-80.265561,30.326164000000002-80.105561,30.326164000000002-80.095561,30.756164000000002-80.265561,30.326164000000002-80.085561,30.766164-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.776164-80.265561,30.326164000000002-80.055561,30.326164000000002-80.04556099999999,30.786164000000003-80.265561,30.326164000000002-80.035561,30.796164-80.265561,30.326164000000002-80.025561,30.326164000000002-80.015561,30.806164000000003-80.265561,30.326164000000002-80.005561,30.816164-80.265561,30.326164000000002-79.995561,30.326164000000002-79.985561,30.826164000000002-80.265561,30.326164000000002-79.975561,30.836164-80.265561,30.326164000000002-79.965561,30.326164000000002-79.955561,30.846164-80.265561,30.326164000000002-79.945561,30.856164-80.265561,30.326164000000002-79.93556099999999,30.326164000000002-79.925561,30.866164-80.265561,30.326164000000002-79.915561,30.876164000000003-80.265561,30.326164000000002-79.90556099999999,30.886164-80.265561,30.326164000000002-79.895561,30.326164000000002-79.885561,30.896164000000002-80.265561,30.326164000000002-79.875561,30.906164-80.265561,30.326164000000002-79.865561,30.916164000000002-80.265561,30.326164000000002-79.855561,30.326164000000002-79.845561,30.926164-80.265561,30.326164000000002-79.835561,30.936164-80.265561,30.326164000000002-79.825561,30.946164000000003-80.265561,30.326164000000002-79.815561,30.326164000000002-79.805561,30.956164-80.265561,30.326164000000002-79.79556099999999"
30.526164-80.265561,"30.526164-80.265561,30.516164-80.265561,30.536164000000003-80.265561,30.546164-80.265561,30.506164000000002-80.265561,30.496164-80.265561,30.556164000000003-80.265561,30.486164000000002-80.265561,30.566164-80.265561,30.576164000000002-80.265561,30.476164-80.265561,30.586164-80.265561,30.466164000000003-80.265561,30.596164-80.265561,30.456164-80.265561,30.606164-80.265561,30.446164000000003-80.265561,30.436164-80.265561,30.616164-80.265561,30.426164-80.265561,30.626164000000003-80.265561,30.636164-80.265561,30.416164000000002-80.265561,30.646164000000002-80.265561,30.406164-80.265561,30.656164-80.265561,30.396164000000002-80.265561,30.666164000000002-80.265561,30.386164-80.265561,30.676164-80.265561,30.376164000000003-80.265561,30.686164-80.265561,30.366164-80.265561,30.696164000000003-80.265561,30.356164-80.265561,30.706164-80.265561,30.346164-80.265561,30.716164000000003-80.265561,30.336164-80.265561,30.726164-80.265561,30.326164000000002-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.736164000000002-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.746164-80.265561,30.326164000000002-80.15556099999999,30.326164000000002-80.145561,30.326164000000002-80.135561,30.756164000000002-80.265561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.766164-80.265561,30.326164000000002-80.105561,30.326164000000002-80.095561,30.776164-80.265561,30.326164000000002-80.085561,30.326164000000002-80.075561,30.786164000000003-80.265561,30.326164000000002-80.065561,30.326164000000002-80.055561,30.796164-80.265561,30.326164000000002-80.04556099999999,30.806164000000003-80.265561,30.326164000000002-80.035561,30.326164000000002-80.025561,30.816164-80.265561,30.326164000000002-80.015561,30.826164000000002-80.265561,30.326164000000002-80.005561,30.326164000000002-79.995561,30.836164-80.265561,30.326164000000002-79.985561,30.846164-80.265561,30.326164000000002-79.975561,30.326164000000002-79.965561,30.856164-80.265561,30.326164000000002-79.955561,30.866164-80.265561,30.326164000000002-79.945561,30.326164000000002-79.93556099999999,30.876164000000003-80.265561,30.326164000000002-79.925561,30.886164-80.265561,30.326164000000002-79.915561,30.326164000000002-79.90556099999999,30.896164000000002-80.265561,30.326164000000002-79.895561,30.906164-80.265561,30.326164000000002-79.885561,30.916164000000002-80.265561,30.326164000000002-79.875561,30.326164000000002-79.865561,30.926164-80.265561,30.326164000000002-79.855561,30.936164-80.265561,30.326164000000002-79.845561,30.946164000000003-80.265561,30.326164000000002-79.835561,30.326164000000002-79.825561,30.956164-80.265561,30.326164000000002-79.815561,30.966164000000003-80.265561,30.326164000000002-79.805561"
30.536164000000003-80.265561,"30.536164000000003-80.265561,30.546164-80.265561,30.526164-80.265561,30.556164000000003-80.265561,30.516164-80.265561,30.566164-80.265561,30.506164000000002-80.265561,30.576164000000002-80.265561,30.496164-80.265561,30.586164-80.265561,30.486164000000002-80.265561,30.596164-80.265561,30.476164-80.265561,30.606164-80.265561,30.466164000000003-80.265561,30.616164-80.265561,30.456164-80.265561,30.626164000000003-80.265561,30.446164000000003-80.265561,30.636164-80.265561,30.436164-80.265561,30.646164000000002-80.265561,30.426164-80.265561,30.656164-80.265561,30.416164000000002-80.265561,30.666164000000002-80.265561,30.406164-80.265561,30.676164-80.265561,30.396164000000002-80.265561,30.686164-80.265561,30.386164-80.265561,30.696164000000003-80.265561,30.376164000000003-80.265561,30.706164-80.265561,30.366164-80.265561,30.716164000000003-80.265561,30.356164-80.265561,30.726164-80.265561,30.346164-80.265561,30.736164000000002-80.265561,30.336164-80.265561,30.746164-80.265561,30.326164000000002-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.756164000000002-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.766164-80.265561,30.326164000000002-80.15556099999999,30.326164000000002-80.145561,30.326164000000002-80.135561,30.776164-80.265561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.786164000000003-80.265561,30.326164000000002-80.105561,30.326164000000002-80.095561,30.796164-80.265561,30.326164000000002-80.085561,30.326164000000002-80.075561,30.806164000000003-80.265561,30.326164000000002-80.065561,30.326164000000002-80.055561,30.816164-80.265561,30.326164000000002-80.04556099999999,30.326164000000002-80.035561,30.826164000000002-80.265561,30.326164000000002-80.025561,30.836164-80.265561,30.326164000000002-80.015561,30.326164000000002-80.005561,30.846164-80.265561,30.326164000000002-79.995561,30.326164000000002-79.985561,30.856164-80.265561,30.326164000000002-79.975561,30.866164-80.265561,30.326164000000002-79.965561,30.326164000000002-79.955561,30.876164000000003-80.265561,30.326164000000002-79.945561,30.886164-80.265561,30.326164000000002-79.93556099999999,30.896164000000002-80.265561,30.326164000000002-79.925561,30.326164000000002-79.915561,30.906164-80.265561,30.326164000000002-79.90556099999999,30.916164000000002-80.265561,30.326164000000002-79.895561,30.326164000000002-79.885561,30.926164-80.265561,30.326164000000002-79.875561,30.936164-80.265561,30.326164000000002-79.865561,30.946164000000003-80.265561,30.326164000000002-79.855561,30.326164000000002-79.845561,30.956164-80.265561,30.326164000000002-79.835561,30.966164000000003-80.265561,30.326164000000002-79.825561,30.976164-80.265561,30.326164000000002-79.815561,30.326164000000002-79.805561"
30.546164-80.265561,"30.546164-80.265561,30.536164000000003-80.265561,30.556164000000003-80.265561,30.566164-80.265561,30.526164-80.265561,30.516164-80.265561,30.576164000000002-80.265561,30.506164000000002-80.265561,30.586164-80.265561,30.596164-80.265561,30.496164-80.265561,30.606164-80.265561,30.486164000000002-80.265561,30.616164-80.265561,30.476164-80.265561,30.466164000000003-80.265561,30.626164000000003-80.265561,30.636164-80.265561,30.456164-80.265561,30.446164000000003-80.265561,30.646164000000002-80.265561,30.436164-80.265561,30.656164-80.265561,30.666164000000002-80.265561,30.426164-80.265561,30.676164-80.265561,30.416164000000002-80.265561,30.686164-80.265561,30.406164-80.265561,30.396164000000002-80.265561,30.696164000000003-80.265561,30.706164-80.265561,30.386164-80.265561,30.376164000000003-80.265561,30.716164000000003-80.265561,30.726164-80.265561,30.366164-80.265561,30.736164000000002-80.265561,30.356164-80.265561,30.746164-80.265561,30.346164-80.265561,30.756164000000002-80.265561,30.336164-80.265561,30.326164000000002-80.265561,30.766164-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.776164-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.786164000000003-80.265561,30.326164000000002-80.145561,30.326164000000002-80.135561,30.796164-80.265561,30.326164000000002-80.125561,30.326164000000002-80.115561,30.326164000000002-80.105561,30.806164000000003-80.265561,30.326164000000002-80.095561,30.326164000000002-80.085561,30.816164-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.826164000000002-80.265561,30.326164000000002-80.055561,30.836164-80.265561,30.326164000000002-80.04556099999999,30.326164000000002-80.035561,30.846164-80.265561,30.326164000000002-80.025561,30.326164000000002-80.015561,30.856164-80.265561,30.326164000000002-80.005561,30.866164-80.265561,30.326164000000002-79.995561,30.326164000000002-79.985561,30.876164000000003-80.265561,30.326164000000002-79.975561,30.326164000000002-79.965561,30.886164-80.265561,30.326164000000002-79.955561,30.896164000000002-80.265561,30.326164000000002-79.945561,30.326164000000002-79.93556099999999,30.906164-80.265561,30.326164000000002-79.925561,30.916164000000002-80.265561,30.326164000000002-79.915561,30.926164-80.265561,30.326164000000002-79.90556099999999,30.326164000000002-79.895561,30.936164-80.265561,30.326164000000002-79.885561,30.946164000000003-80.265561,30.326164000000002-79.875561,30.326164000000002-79.865561,30.956164-80.265561,30.326164000000002-79.855561,30.966164000000003-80.265561,30.326164000000002-79.845561,30.976164-80.265561,30.326164000000002-79.835561,30.326164000000002-79.825561,30.986164000000002-80.265561,30.326164000000002-79.815561"
30.556164000000003-80.265561,"30.556164000000003-80.265561,30.566164-80.265561,30.546164-80.265561,30.576164000000002-80.265561,30.536164000000003-80.265561,30.586164-80.265561,30.526164-80.265561,30.596164-80.265561,30.516164-80.265561,30.606164-80.265561,30.506164000000002-80.265561,30.616164-80.265561,30.496164-80.265561,30.486164000000002-80.265561,30.626164000000003-80.265561,30.636164-80.265561,30.476164-80.265561,30.646164000000002-80.265561,30.466164000000003-80.265561,30.656164-80.265561,30.456164-80.265561,30.446164000000003-80.265561,30.666164000000002-80.265561,30.676164-80.265561,30.436164-80.265561,30.686164-80.265561,30.426164-80.265561,30.696164000000003-80.265561,30.416164000000002-80.265561,30.706164-80.265561,30.406164-80.265561,30.716164000000003-80.265561,30.396164000000002-80.265561,30.726164-80.265561,30.386164-80.265561,30.736164000000002-80.265561,30.376164000000003-80.265561,30.746164-80.265561,30.366164-80.265561,30.756164000000002-80.265561,30.356164-80.265561,30.766164-80.265561,30.346164-80.265561,30.776164-80.265561,30.336164-80.265561,30.326164000000002-80.265561,30.786164000000003-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.796164-80.265561,30.326164000000002-80.18556099999999,30.326164000000002-80.175561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.806164000000003-80.265561,30.326164000000002-80.145561,30.326164000000002-80.135561,30.326164000000002-80.125561,30.816164-80.265561,30.326164000000002-80.115561,30.326164000000002-80.105561,30.826164000000002-80.265561,30.326164000000002-80.095561,30.326164000000002-80.085561,30.836164-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.846164-80.265561,30.326164000000002-80.055561,30.326164000000002-80.04556099999999,30.856164-80.265561,30.326164000000002-80.035561,30.326164000000002-80.025561,30.866164-80.265561,30.326164000000002-80.015561,30.876164000000003-80.265561,30.326164000000002-80.005561,30.326164000000002-79.995561,30.886164-80.265561,30.326164000000002-79.985561,30.326164000000002-79.975561,30.896164000000002-80.265561,30.326164000000002-79.965561,30.906164-80.265561,30.326164000000002-79.955561,30.326164000000002-79.945561,30.916164000000002-80.265561,30.326164000000002-79.93556099999999,30.926164-80.265561,30.326164000000002-79.925561,30.326164000000002-79.915561,30.936164-80.265561,30.326164000000002-79.90556099999999,30.946164000000003-80.265561,30.326164000000002-79.895561,30.956164-80.265561,30.326164000000002-79.885561,30.326164000000002-79.875561,30.966164000000003-80.265561,30.326164000000002-79.865561,30.976164-80.265561,30.326164000000002-79.855561,30.326164000000002-79.845561,30.986164000000002-80.265561,30.326164000000002-79.835561,30.996164-80.265561,30.326164000000002-79.825561"
30.566164-80.265561,"30.566164-80.265561,30.556164000000003-80.265561,30.576164000000002-80.265561,30.586164-80.265561,30.546164-80.265561,30.536164000000003-80.265561,30.596164-80.265561,30.526164-80.265561,30.606164-80.265561,30.616164-80.265561,30.516164-80.265561,30.506164000000002-80.265561,30.626164000000003-80.265561,30.636164-80.265561,30.496164-80.265561,30.486164000000002-80.265561,30.646164000000002-80.265561,30.656164-80.265561,30.476164-80.265561,30.466164000000003-80.265561,30.666164000000002-80.265561,30.456164-80.265561,30.676164-80.265561,30.446164000000003-80.265561,30.686164-80.265561,30.436164-80.265561,30.696164000000003-80.265561,30.706164-80.265561,30.426164-80.265561,30.416164000000002-80.265561,30.716164000000003-80.265561,30.726164-80.265561,30.406164-80.265561,30.396164000000002-80.265561,30.736164000000002-80.265561,30.746164-80.265561,30.386164-80.265561,30.376164000000003-80.265561,30.756164000000002-80.265561,30.766164-80.265561,30.366164-80.265561,30.776164-80.265561,30.356164-80.265561,30.346164-80.265561,30.786164000000003-80.265561,30.336164-80.265561,30.796164-80.265561,30.326164000000002-80.265561,30.806164000000003-80.265561,30.326164000000002-80.255561,30.326164000000002-80.245561,30.326164000000002-80.235561,30.326164000000002-80.225561,30.326164000000002-80.215561,30.326164000000002-80.205561,30.326164000000002-80.195561,30.326164000000002-80.18556099999999,30.816164-80.265561,30.326164000000002-80.175561,30.326164000000002-80.165561,30.326164000000002-80.15556099999999,30.826164000000002-80.265561,30.326164000000002-80.145561,30.326164000000002-80.135561,30.326164000000002-80.125561,30.836164-80.265561,30.326164000000002-80.115561,30.326164000000002-80.105561,30.846164-80.265561,30.326164000000002-80.095561,30.326164000000002-80.085561,30.856164-80.265561,30.326164000000002-80.075561,30.326164000000002-80.065561,30.866164-80.265561,30.326164000000002-80.055561,30.326164000000002-80.04556099999999,30.876164000000003-80.265561,30.326164000000002-80.035561,30.326164000000002-80.025561,30.886164-80.265561,30.326164000000002-80.015561,30.326164000000002-80.005561,30.896164000000002-80.265561,30.326164000000002-79.995561,30.906164-80.265561,30.326164000000002-79.985561,30.326164000000002-79.975561,30.916164000000002-80.265561,30.326164000000002-79.965561,30.326164000000002-79.955561,30.926164-80.265561,30.326164000000002-79.945561,30.936164-80.265561,30.326164000000002-79.93556099999999,30.326164000000002-79.925561,30.946164000000003-80.265561,30.326164000000002-79.915561,30.956164-80.265561,30.326164000000002-79.90556099999999,30.326164000000002-79.895561,30.966164000000003-80.265561,30.326164000000002-79.885561,30.976164-80.265561,30.326164000000002-79.875561,30.986164000000002-80.265561,30.326164000000002-79.865561,30.326164000000002-79.855561,30.996164-80.265561,30.326164000000002-79.845561,31.006164000000002-80.265561,30.326164000000002-79.835561,30.326164000000002-79.825561"
